id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1162,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD KE BAWAH,87425.0,ORANG,2021
1163,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,62464.0,ORANG,2021
1164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (UMUM),70395.0,ORANG,2021
1165,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA (KEJURUAN),102884.0,ORANG,2021
1166,32,JAWA BARAT,3201,KABUPATEN BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,17436.0,ORANG,2021
1167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD KE BAWAH,35424.0,ORANG,2021
1168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,26774.0,ORANG,2021
1169,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (UMUM),25255.0,ORANG,2021
1170,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA (KEJURUAN),26696.0,ORANG,2021
1171,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2132.0,ORANG,2021
1172,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD KE BAWAH,41565.0,ORANG,2021
1173,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,25909.0,ORANG,2021
1174,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (UMUM),19472.0,ORANG,2021
1175,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA (KEJURUAN),19215.0,ORANG,2021
1176,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3401.0,ORANG,2021
1177,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD KE BAWAH,29774.0,ORANG,2021
1178,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,32909.0,ORANG,2021
1179,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA (UMUM),55342.0,ORANG,2021
1180,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA (KEJURUAN),20976.0,ORANG,2021
1181,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,12907.0,ORANG,2021
1182,32,JAWA BARAT,3205,KABUPATEN GARUT,SD KE BAWAH,36023.0,ORANG,2021
1183,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,20359.0,ORANG,2021
1184,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA (UMUM),30617.0,ORANG,2021
1185,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA (KEJURUAN),14404.0,ORANG,2021
1186,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2809.0,ORANG,2021
1187,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD KE BAWAH,23584.0,ORANG,2021
1188,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,9884.0,ORANG,2021
1189,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA (UMUM),4769.0,ORANG,2021
1190,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA (KEJURUAN),15545.0,ORANG,2021
1191,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3889.0,ORANG,2021
1192,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD KE BAWAH,8775.0,ORANG,2021
1193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,4340.0,ORANG,2021
1194,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA (UMUM),5453.0,ORANG,2021
1195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA (KEJURUAN),11536.0,ORANG,2021
1196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3857.0,ORANG,2021
1197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD KE BAWAH,24349.0,ORANG,2021
1198,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,14095.0,ORANG,2021
1199,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (UMUM),7757.0,ORANG,2021
1200,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (KEJURUAN),14087.0,ORANG,2021
1201,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3089.0,ORANG,2021
1202,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD KE BAWAH,35239.0,ORANG,2021
1203,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,21525.0,ORANG,2021
1204,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (UMUM),22716.0,ORANG,2021
1205,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (KEJURUAN),31088.0,ORANG,2021
1206,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1861.0,ORANG,2021
1207,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD KE BAWAH,10628.0,ORANG,2021
1208,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,9796.0,ORANG,2021
1209,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (UMUM),6942.0,ORANG,2021
1210,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (KEJURUAN),7892.0,ORANG,2021
1211,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1924.0,ORANG,2021
1212,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD KE BAWAH,8867.0,ORANG,2021
1213,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,12676.0,ORANG,2021
1214,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (UMUM),13830.0,ORANG,2021
1215,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (KEJURUAN),19925.0,ORANG,2021
1216,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3472.0,ORANG,2021
1217,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD KE BAWAH,33691.0,ORANG,2021
1218,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,11853.0,ORANG,2021
1219,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (UMUM),12221.0,ORANG,2021
1220,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (KEJURUAN),21476.0,ORANG,2021
1221,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0.0,ORANG,2021
1222,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD KE BAWAH,20910.0,ORANG,2021
1223,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,18226.0,ORANG,2021
1224,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (UMUM),19158.0,ORANG,2021
1225,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (KEJURUAN),19417.0,ORANG,2021
1226,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4962.0,ORANG,2021
1227,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD KE BAWAH,14094.0,ORANG,2021
1228,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,7937.0,ORANG,2021
1229,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (UMUM),10560.0,ORANG,2021
1230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (KEJURUAN),12434.0,ORANG,2021
1231,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1902.0,ORANG,2021
1232,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD KE BAWAH,29578.0,ORANG,2021
1233,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,17364.0,ORANG,2021
1234,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (UMUM),40207.0,ORANG,2021
1235,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (KEJURUAN),44738.0,ORANG,2021
1236,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5525.0,ORANG,2021
1237,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD KE BAWAH,16392.0,ORANG,2021
1238,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,27491.0,ORANG,2021
1239,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (UMUM),42418.0,ORANG,2021
1240,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (KEJURUAN),85519.0,ORANG,2021
1241,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,25327.0,ORANG,2021
1242,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD KE BAWAH,22191.0,ORANG,2021
1243,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,18540.0,ORANG,2021
1244,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (UMUM),28826.0,ORANG,2021
1245,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (KEJURUAN),13456.0,ORANG,2021
1246,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6189.0,ORANG,2021
1247,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD KE BAWAH,1409.0,ORANG,2021
1248,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,1775.0,ORANG,2021
1249,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (UMUM),1974.0,ORANG,2021
1250,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (KEJURUAN),2535.0,ORANG,2021
1251,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,146.0,ORANG,2021
1252,32,JAWA BARAT,3271,KOTA BOGOR,SD KE BAWAH,10786.0,ORANG,2021
1253,32,JAWA BARAT,3271,KOTA BOGOR,SMP,10139.0,ORANG,2021
1254,32,JAWA BARAT,3271,KOTA BOGOR,SMA (UMUM),15759.0,ORANG,2021
1255,32,JAWA BARAT,3271,KOTA BOGOR,SMA (KEJURUAN),23089.0,ORANG,2021
1256,32,JAWA BARAT,3271,KOTA BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2585.0,ORANG,2021
1257,32,JAWA BARAT,3272,KOTA SUKABUMI,SD KE BAWAH,2181.0,ORANG,2021
1258,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,2472.0,ORANG,2021
1259,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (UMUM),5818.0,ORANG,2021
1260,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (KEJURUAN),3554.0,ORANG,2021
1261,32,JAWA BARAT,3272,KOTA SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1494.0,ORANG,2021
1262,32,JAWA BARAT,3273,KOTA BANDUNG,SD KE BAWAH,18581.0,ORANG,2021
1263,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,28379.0,ORANG,2021
1264,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (UMUM),41386.0,ORANG,2021
1265,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (KEJURUAN),36965.0,ORANG,2021
1266,32,JAWA BARAT,3273,KOTA BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,28194.0,ORANG,2021
1267,32,JAWA BARAT,3274,KOTA CIREBON,SD KE BAWAH,2295.0,ORANG,2021
1268,32,JAWA BARAT,3274,KOTA CIREBON,SMP,3667.0,ORANG,2021
1269,32,JAWA BARAT,3274,KOTA CIREBON,SMA (UMUM),3578.0,ORANG,2021
1270,32,JAWA BARAT,3274,KOTA CIREBON,SMA (KEJURUAN),4429.0,ORANG,2021
1271,32,JAWA BARAT,3274,KOTA CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2432.0,ORANG,2021
1272,32,JAWA BARAT,3275,KOTA BEKASI,SD KE BAWAH,15334.0,ORANG,2021
1273,32,JAWA BARAT,3275,KOTA BEKASI,SMP,12077.0,ORANG,2021
1274,32,JAWA BARAT,3275,KOTA BEKASI,SMA (UMUM),40548.0,ORANG,2021
1275,32,JAWA BARAT,3275,KOTA BEKASI,SMA (KEJURUAN),56194.0,ORANG,2021
1276,32,JAWA BARAT,3275,KOTA BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,43821.0,ORANG,2021
1277,32,JAWA BARAT,3276,KOTA DEPOK,SD KE BAWAH,13084.0,ORANG,2021
